Price Dates,Bhindi (Ladies finger),Tomato,Onion,Potato,Brinjal,Garlic,Peas,Methi,Green Chilli,Elephant Yam (Suran)
08-08-2023,27.0,16,18.0,21,35,160,120,8,50.0,30
09-08-2023,27.0,16,19.0,20,35,160,100,8,60.0,40
10-08-2023,27.0,16,20.0,20,40,160,80,7,50.0,35
11-08-2023,22.5,16,21.0,21,30,160,80,6,40.0,30
13-08-2023,24.0,16,22.0,21,30,160,60,7,40.0,45
14-08-2023,20.0,16,21.0,21,40,160,60,7,40.0,40
17-08-2023,21.0,16,27.0,20,35,160,70,7,40.0,40
18-08-2023,20.0,16,25.0,20,25,160,70,7,40.0,40
20-08-2023,20.0,16,25.0,20,30,160,60,6,35.0,40
21-08-2023,25.0,16,25.0,20,25,160,50,8,40.0,40
22-08-2023,27.0,16,22.0,20,25,160,50,10,45.0,30
23-08-2023,23.5,16,23.0,20,30,160,55,10,50.0,35
24-08-2023,20.0,16,25.0,20,20,120,50,10,40.0,50
25-08-2023,17.0,16,25.0,20,25,160,50,12,40.0,30
27-08-2023,21.0,16,25.0,20,25,150,50,10,35.0,32
28-08-2023,21.0,16,24.0,20,25,150,55,16,40.0,20
29-08-2023,22.0,16,23.0,20,25,150,50,12,35.0,35
30-08-2023,22.0,16,23.0,18,25,150,50,16,35.0,35
31-08-2023,20.0,16,23.0,18,20,150,50,12,35.0,32
01-09-2023,20.0,16,23.0,19,20,160,50,12,30.0,32
03-09-2023,17.0,16,24.0,19,20,160,50,12,40.0,25
04-09-2023,20.0,16,23.0,20,20,160,50,10,40.0,32
06-09-2023,20.0,16,21.0,19,25,160,50,16,60.0,25
07-09-2023,17.0,16,24.0,20,16,160,50,12,35.0,25
08-09-2023,20.0,16,25.0,20,16,160,50,13,30.0,30
10-09-2023,20.0,16,25.0,18,20,160,55,12,40.0,30
11-09-2023,22.0,16,23.0,15,20,160,65,15,40.0,30
12-09-2023,22.0,16,22.0,18,20,160,65,15,40.0,20
13-09-2023,22.0,16,23.0,18,25,160,60,15,35.0,25
14-09-2023,22.0,16,23.0,18,25,160,70,15,40.0,30
15-09-2023,20.0,16,23.0,18,25,160,65,16,35.0,25
17-09-2023,21.0,16,24.0,18,25,160,70,17,40.0,30
18-09-2023,23.0,16,23.0,19,30,160,90,20,45.0,30
19-09-2023,23.0,16,24.0,18,20,160,85,20,40.0,30
20-09-2023,21.0,16,22.0,18,25,160,85,25,30.0,30
21-09-2023,22.0,16,23.0,18,25,160,100,22,30.0,25
22-09-2023,22.0,16,23.0,18,25,160,90,25,35.0,30
24-09-2023,21.0,16,23.0,18,25,160,80,22,40.0,30
25-09-2023,23.0,16,23.0,18,25,170,90,20,40.0,30
26-09-2023,33.0,16,23.0,20,30,170,90,16,40.0,30
27-09-2023,21.0,16,25.0,20,35,170,90,20,40.0,25
28-09-2023,26.0,16,25.0,20,35,170,90,18,40.0,30
01-10-2023,27.0,16,25.0,20,30,170,100,25,35.0,40
02-10-2023,26.0,16,26.0,20,30,170,90,20,40.0,30
03-10-2023,29.5,16,26.0,20,50,170,100,20,35.0,30
04-10-2023,32.0,16,24.0,18,50,170,110,25,50.0,30
05-10-2023,37.0,16,24.0,20,45,170,110,22,40.0,30
06-10-2023,37.0,16,25.0,20,50,170,130,25,40.0,30
08-10-2023,40.0,16,25.0,20,50,170,120,22,50.0,50
09-10-2023,35.0,16,24.0,20,45,170,140,30,40.0,30
10-10-2023,32.5,16,25.0,18,45,170,140,30,50.0,30
11-10-2023,30.0,16,26.0,20,40,170,150,25,40.0,30
12-10-2023,25.0,16,27.0,20,50,170,130,28,50.0,35
13-10-2023,24.5,16,27.0,20,40,170,120,25,50.0,25
15-10-2023,32.0,16,26.0,18,40,160,150,35,55.0,30
16-10-2023,32.0,16,27.0,20,50,160,130,35,65.0,25
17-10-2023,32.0,16,28.0,21,40,160,130,30,50.0,30
18-10-2023,25.0,16,30.0,20,50,160,130,28,50.0,35
19-10-2023,27.0,16,35.0,21,50,160,130,28,40.0,25
20-10-2023,24.5,16,40.0,20,45,160,140,30,50.0,25
22-10-2023,27.0,16,40.0,21,35,160,130,30,50.0,40
23-10-2023,21.0,16,38.0,20,30,165,120,30,45.0,30
24-10-2023,20.0,16,37.0,18,35,165,120,22,50.0,25
26-10-2023,24.5,16,38.0,20,30,165,120,30,40.0,30
27-10-2023,27.0,16,45.0,21,30,165,120,25,50.0,30
29-10-2023,27.0,16,57.0,20,35,165,120,22,40.0,30
30-10-2023,32.0,16,55.0,21,30,165,120,25,40.0,25
31-10-2023,27.0,16,54.0,20,35,165,120,25,40.0,40
02-11-2023,37.0,16,54.0,18,40,165,110,23,45.0,30
03-11-2023,29.5,16,50.0,20,30,165,130,20,40.0,30
06-11-2023,26.0,16,50.0,22,25,165,120,20,32.0,30
07-11-2023,27.0,16,47.0,18,25,190,120,10,30.0,40
08-11-2023,24.5,16,38.0,18,15,190,130,15,30.0,30
09-11-2023,22.0,16,42.0,20,20,190,120,12,30.0,30
10-11-2023,22.5,16,50.0,18,15,190,100,12,35.0,30
12-11-2023,20.0,16,50.0,18,20,190,120,12,40.0,40
13-11-2023,22.0,16,47.0,20,20,190,90,12,40.0,30
14-11-2023,22.0,16,45.0,20,16,190,100,12,50.0,30
16-11-2023,27.5,16,46.0,20,25,190,120,15,40.0,40
17-11-2023,27.0,16,46.0,22,30,190,70,12,35.0,30
19-11-2023,32.0,16,45.0,22,25,190,60,10,50.0,40
20-11-2023,32.0,16,45.0,20,30,190,55,8,40.0,30
21-11-2023,35.0,16,43.0,22,30,190,50,9,40.0,30
22-11-2023,32.0,16,42.0,22,20,190,40,9,30.0,30
23-11-2023,32.5,16,40.0,20,25,190,42,10,30.0,40
24-11-2023,30.0,16,40.0,20,30,190,40,8,30.0,40
26-11-2023,32.0,16,36.0,22,20,230,40,8,30.0,40
27-11-2023,32.0,16,37.0,18,25,270,35,8,25.0,25
28-11-2023,30.0,16,40.0,18,25,270,35,10,30.0,30
29-11-2023,32.0,16,46.0,18,25,270,32,8,30.0,25
30-11-2023,30.0,16,50.0,22,25,270,40,7,35.0,30
04-12-2023,37.5,16,47.0,18,20,270,40,8,30.0,25
05-12-2023,37.0,16,46.0,17,20,270,40,8,25.0,35
06-12-2023,37.0,16,47.0,20,30,290,40,7,30.0,40
07-12-2023,37.0,16,48.0,18,20,270,40,8,35.0,25
08-12-2023,42.5,16,46.0,18,40,270,50,10,30.0,25
10-12-2023,42.5,16,48.0,18,35,270,50,10,30.0,25
11-12-2023,60.0,16,42.0,22,40,270,40,12,30.0,25
12-12-2023,50.0,16,42.0,22,50,270,40,13,35.0,40
13-12-2023,50.0,16,40.0,18,45,270,40,12,35.0,40
15-12-2023,47.5,16,38.0,22,50,270,35,15,30.0,30
17-12-2023,50.0,16,36.0,18,70,270,40,12,40.0,40
18-12-2023,50.0,16,30.0,22,60,270,35,25,35.0,25
19-12-2023,45.0,16,30.0,22,50,270,30,23,50.0,35
20-12-2023,45.0,16,26.0,22,60,270,35,22,30.0,40
21-12-2023,50.0,16,28.0,22,70,270,40,20,30.0,30
22-12-2023,55.0,16,30.0,20,50,270,40,18,35.0,25
24-12-2023,47.5,16,30.0,22,60,270,35,18,30.0,25
25-12-2023,45.0,16,24.0,22,70,260,30,18,30.0,25
26-12-2023,47.5,16,25.0,22,80,260,30,18,35.0,25
27-12-2023,45.0,16,30.0,20,70,260,40,16,40.0,25
28-12-2023,45.0,16,30.0,20,70,260,30,20,45.0,25
29-12-2023,45.0,16,30.0,22,80,260,30,18,50.0,25
31-12-2023,45.0,16,26.0,20,60,250,40,16,50.0,40
01-01-2024,45.0,16,9.0,18,50,260,40,15,60.0,25
